"","CID","PROD_TYPE","PROD_MOD","PROD_MOD2","CITY","CITY2","AGE","GEN","INCOME","LOAN","NUM_FREE_VIS","NUM_PAID_VIS","FREE_AV_US","PAID_AV_US","PAID_AV_TIME","PAID_AV_FD","NUM_OVRCH","VISIT3","VISTIME_23"
"1391","ABC1391","SC","SC4","3","HYD","3","34","1","3.48","0","3","1","1723.66","8635.76","282","7.7","0",NA,NA
"1392","ABC1392","SC","SC1","0","DEL","2","40","1","10.09","1","2","0","5574.44",NA,NA,NA,NA,NA,NA
"1393","ABC1393","SC","SC4","3","HYD","3","37","1","6.87","0","3","1","1479.68","5960.24","339","7.1","1",NA,NA
"1394","ABC1394","SB","SB2","4","DEL","2","37","0","13.74","0","3","1","1841.35","8405.72","271","7.5","0",NA,NA
"1395","ABC1395","PB","PB1","9","KOL","5","43","1","11.61","0","3","1","2438.8","8296.85","347","7.5","0",NA,NA
"1396","ABC1396","PB","PB2","10","DEL","2","39","0","13.83","0","3","2","2726.67","4663.39","169","7.5","0","0",NA
"1397","ABC1397","SC","SC1","0","CHE","4","35","0","11.95","1","2","2","3544.3","2730.21","183","7","0","0",NA
"1398","ABC1398","PB","PB2","10","MUM","0","36","0","9.1","0","3","2","2725.83","4948.41","168","6.8","0","0",NA
"1399","ABC1399","SB","SB2","4","KOL","5","45","0","15.51","1","3","1","1994.63","9744.42","311","5.4","0",NA,NA
"1400","ABC1400","SB","SB5","5","CHE","4","44","0","13.48","0","3","0","1966.03",NA,NA,NA,NA,NA,NA
"1401","ABC1401","SB","SB2","4","HYD","3","44","1","11.99","0","3","0","1932.98",NA,NA,NA,NA,NA,NA
"1402","ABC1402","PB","PB1","9","DEL","2","47","0","18.15","1","2","2","4051.74","5242.7","202","6.4","1","0",NA
"1403","ABC1403","SC","SC1","0","BNG","1","44","0","18.89","1","3","1","1563.27","9371.5","212","7.1","0",NA,NA
"1404","ABC1404","SC","SC2","1","MUM","0","39","1","11.53","0","2","1","3517.55","8777.36","317","6","0",NA,NA
"1405","ABC1405","SB","SB3","8","MUM","0","38","0","13.31","1","2","1","3054.16","8948.65","298","6.8","0",NA,NA
"1406","ABC1406","SB","SB1","6","DEL","2","36","0","12.74","1","3","1","1750.63","8903.29","292","6.1","0",NA,NA
"1407","ABC1407","SB","SB1","6","MUM","0","40","0","17.62","0","3","1","1561.36","10157.67","293","5.9","0",NA,NA
"1408","ABC1408","PB","PB1","9","BNG","1","36","0","13.54","1","3","1","2855","8279.16","268","6.1","0",NA,NA
"1409","ABC1409","SB","SB2","4","CHE","4","37","0","8.02","1","2","1","4350.01","9311.32","239","5","0",NA,NA
"1410","ABC1410","SC","SC1","0","KOL","5","37","0","13.63","1","2","2","4702.96","3207.84","167","6.8","0","0",NA
"1411","ABC1411","SB","SB3","8","DEL","2","45","1","15.48","1","3","1","1322","7533.88","251","7.8","0",NA,NA
"1412","ABC1412","SC","SC1","0","CHE","4","36","0","12.42","0","3","2","2290.27","3506.84","171","7.9","0","0",NA
"1413","ABC1413","PB","PB1","9","BNG","1","35","0","11.66","1","3","0","3212.32",NA,NA,NA,NA,NA,NA
"1414","ABC1414","SB","SB2","4","KOL","5","50","1","13.04","0","3","1","2120.39","9652.14","279","7.2","0",NA,NA
"1415","ABC1415","SB","SB5","5","BNG","1","50","0","26.38","0","3","1","1757.92","7314.3","233","7","1",NA,NA
"1416","ABC1416","SB","SB1","6","MUM","0","41","1","9.88","1","3","1","1414.52","7112.19","240","7.3","0",NA,NA
"1417","ABC1417","SC","SC1","0","DEL","2","32","0","8.11","1","3","1","1999.32","7937.82","189","5.4","0",NA,NA
"1418","ABC1418","PB","PB2","10","BNG","1","46","0","18.33","0","3","0","3439.99",NA,NA,NA,NA,NA,NA
"1419","ABC1419","SB","SB2","4","DEL","2","43","0","16.44","1","2","2","4968.7","3104.91","183","7","0","1","296"
"1420","ABC1420","SC","SC4","3","DEL","2","33","0","10","0","3","2","2360.42","2745.73","181","7.1","0","0",NA
"1421","ABC1421","SC","SC2","1","KOL","5","38","0","12.19","0","2","2","3438.79","1706.54","162","7.2","0","1","374"
"1422","ABC1422","PB","PB2","10","CHE","4","41","0","14.68","1","3","1","2897.28","7953.88","265","7.2","0",NA,NA
"1423","ABC1423","PB","PB2","10","CHE","4","39","0","7.58","1","2","1","4024.55","7596.34","309","6","0",NA,NA
"1424","ABC1424","SB","SB2","4","DEL","2","44","1","11.91","1","3","1","2214.88","8898.97","276","6.8","0",NA,NA
"1425","ABC1425","SB","SB2","4","CHE","4","40","0","12.98","0","3","0","1592.91",NA,NA,NA,NA,NA,NA
"1426","ABC1426","SB","SB5","5","DEL","2","33","0","7.17","0","3","0","1855.52",NA,NA,NA,NA,NA,NA
"1427","ABC1427","SB","SB1","6","DEL","2","34","0","7.51","0","3","0","1581.22",NA,NA,NA,NA,NA,NA
"1428","ABC1428","PB","PB2","10","HYD","3","51","1","18.99","1","3","2","2416.74","4753.65","219","6.6","0","0",NA
"1429","ABC1429","SC","SC1","0","KOL","5","40","0","17.87","0","2","1","5234.42","8123.71","310","7","0",NA,NA
"1430","ABC1430","PB","PB1","9","HYD","3","29","1","0","1","3","0","3148.51",NA,NA,NA,NA,NA,NA
"1431","ABC1431","PB","PB1","9","DEL","2","42","0","17","1","3","0","2872.62",NA,NA,NA,NA,NA,NA
"1432","ABC1432","SC","SC1","0","HYD","3","46","0","19.9","0","2","1","3475.65","7524.67","291","6.1","0",NA,NA
"1433","ABC1433","SC","SC2","1","HYD","3","34","0","11.09","1","3","1","2054.61","8191.39","313","6.8","0",NA,NA
"1434","ABC1434","PB","PB2","10","DEL","2","37","0","17.77","1","3","2","2957.76","4642.01","180","6.2","1","0",NA
"1435","ABC1435","SB","SB3","8","DEL","2","42","0","13.03","1","2","1","4783.6","9037.3","282","5.1","0",NA,NA
"1436","ABC1436","PB","PB2","10","CHE","4","40","0","15.56","0","2","1","4654.49","7853.34","270","5.6","0",NA,NA
"1437","ABC1437","PB","PB2","10","MUM","0","43","1","16.25","0","3","1","3544.01","8340.44","279","7","0",NA,NA
"1438","ABC1438","SB","SB5","5","BNG","1","50","1","16.15","0","3","0","1599.56",NA,NA,NA,NA,NA,NA
"1439","ABC1439","SC","SC3","2","BNG","1","39","0","15.41","0","2","0","4573.62",NA,NA,NA,NA,NA,NA
"1440","ABC1440","PB","PB2","10","DEL","2","36","1","3.26","1","3","0","2755.17",NA,NA,NA,NA,NA,NA
"1441","ABC1441","SC","SC3","2","CHE","4","37","1","9.84","1","3","0","1250.65",NA,NA,NA,NA,NA,NA
"1442","ABC1442","PB","PB2","10","MUM","0","36","1","8.22","1","3","1","2899.51","8810.96","311","8.1","0",NA,NA
"1443","ABC1443","PB","PB1","9","DEL","2","35","0","10.79","0","1","2","4234.77","5043.48","185","5.6","0","0",NA
"1444","ABC1444","SB","SB5","5","HYD","3","46","0","11.14","0","3","1","2140.17","8620.62","307","7.1","0",NA,NA
"1445","ABC1445","PB","PB2","10","HYD","3","37","0","14.73","1","3","0","3041.03",NA,NA,NA,NA,NA,NA
"1446","ABC1446","SB","SB1","6","KOL","5","35","1","4.86","1","3","0","1697.86",NA,NA,NA,NA,NA,NA
"1447","ABC1447","SC","SC1","0","DEL","2","45","0","18.1","0","2","0","4230.57",NA,NA,NA,NA,NA,NA
"1448","ABC1448","SC","SC1","0","KOL","5","41","0","19.43","1","2","2","3742.28","2402.25","185","6.4","1","1","357"
"1449","ABC1449","SB","SB2","4","BNG","1","43","1","15.67","0","3","0","1519.75",NA,NA,NA,NA,NA,NA
"1450","ABC1450","PB","PB2","10","HYD","3","39","0","13.83","1","2","1","3790.52","8714.12","206","5.6","0",NA,NA
"1451","ABC1451","SB","SB3","8","CHE","4","32","0","11","1","3","0","2352.18",NA,NA,NA,NA,NA,NA
"1452","ABC1452","SC","SC2","1","HYD","3","48","0","17.11","1","1","2","5970.62","2459.81","183","8.6","0","0",NA
"1453","ABC1453","SB","SB3","8","DEL","2","42","0","15.35","1","2","1","2604.72","7559.72","296","6.3","0",NA,NA
"1454","ABC1454","SB","SB5","5","DEL","2","40","1","4.81","0","3","2","2247.61","2798.58","145","5.3","0","1","361"
"1455","ABC1455","PB","PB1","9","KOL","5","50","0","22.66","0","3","0","2533.04",NA,NA,NA,NA,NA,NA
"1456","ABC1456","SB","SB1","6","HYD","3","36","1","3.07","1","3","1","1250.74","7851.98","289","6.7","0",NA,NA
"1457","ABC1457","SC","SC4","3","HYD","3","45","0","16.99","1","2","1","4068.81","7750.1","310","5.3","0",NA,NA
"1458","ABC1458","SB","SB1","6","HYD","3","42","0","10.09","1","2","1","4221.5","8068.25","291","7.8","0",NA,NA
"1459","ABC1459","PB","PB2","10","MUM","0","40","0","10.95","1","3","1","2794.46","8331.94","307","8.7","0",NA,NA
"1460","ABC1460","SB","SB2","4","HYD","3","40","0","15.27","0","3","2","1844.98","2890.22","172","8.8","0","0",NA
"1461","ABC1461","SC","SC1","0","KOL","5","47","0","18.02","1","2","1","3736.69","8185.17","318","7.2","0",NA,NA
"1462","ABC1462","PB","PB1","9","KOL","5","41","0","20.74","0","3","2","2971.2","4458.14","157","6.1","0","0",NA
"1463","ABC1463","PB","PB2","10","MUM","0","39","0","9.87","1","3","1","2744.76","8881.44","279","5.5","0",NA,NA
"1464","ABC1464","PB","PB1","9","MUM","0","43","0","19.58","0","3","0","3118",NA,NA,NA,NA,NA,NA
"1465","ABC1465","SB","SB4","7","DEL","2","30","0","11.67","1","3","2","2117.44","2545.79","204","6.4","0","0",NA
"1466","ABC1466","SC","SC3","2","DEL","2","37","0","8.33","0","2","2","3555.18","3280.54","171","8.5","0","0",NA
"1467","ABC1467","SB","SB3","8","HYD","3","43","0","15.11","1","3","2","1489.01","3027.47","165","6.9","0","0",NA
"1468","ABC1468","SB","SB3","8","CHE","4","34","0","15.88","1","3","1","2337.64","8453.95","276","8.7","1",NA,NA
"1469","ABC1469","PB","PB1","9","MUM","0","48","0","17.15","1","2","1","4475.06","9258.28","266","7.7","0",NA,NA
"1470","ABC1470","SC","SC3","2","HYD","3","41","0","14.93","1","3","2","2995.65","2465.39","178","10","1","0",NA
"1471","ABC1471","PB","PB1","9","BNG","1","37","1","5.7","0","3","2","3251.28","4696.49","166","7.8","0","0",NA
"1472","ABC1472","PB","PB1","9","DEL","2","32","0","5.01","0","3","2","2982.76","5056.08","221","6.6","0","0",NA
"1473","ABC1473","SB","SB4","7","BNG","1","39","0","17.19","0","3","1","2152.53","7233.95","249","7.7","0",NA,NA
"1474","ABC1474","PB","PB2","10","MUM","0","43","1","9.51","1","2","1","4353.42","8533.67","317","7.8","0",NA,NA
"1475","ABC1475","SB","SB5","5","MUM","0","46","0","20.63","0","2","2","4266.25","1899.87","146","6.5","0","0",NA
"1476","ABC1476","SB","SB4","7","CHE","4","39","0","9.65","1","3","0","2522.11",NA,NA,NA,NA,NA,NA
"1477","ABC1477","PB","PB1","9","CHE","4","39","1","4.49","1","3","2","3345.78","5334.03","167","8.1","0","0",NA
"1478","ABC1478","SB","SB5","5","BNG","1","40","0","15.57","1","3","2","2093.18","3608.31","173","5.8","0","0",NA
"1479","ABC1479","SC","SC2","1","CHE","4","46","1","11.9","1","2","2","3399.54","3044.06","147","7.6","1","0",NA
"1480","ABC1480","SC","SC2","1","HYD","3","33","0","7.13","1","3","2","1677.21","2700.72","207","6.5","0","1","362"
"1481","ABC1481","SC","SC1","0","CHE","4","35","0","9.86","0","3","0","2464.03",NA,NA,NA,NA,NA,NA
"1482","ABC1482","SC","SC2","1","KOL","5","36","0","12.07","0","3","2","2489.02","3110.48","154","6.9","0","0",NA
"1483","ABC1483","SB","SB4","7","DEL","2","41","0","15.14","1","3","1","2315.76","7487.03","253","7.3","0",NA,NA
"1484","ABC1484","SC","SC3","2","BNG","1","55","0","24.22","0","3","1","1916.94","7198.33","215","6","1",NA,NA
"1485","ABC1485","SC","SC2","1","BNG","1","44","0","18.21","1","3","0","2073.51",NA,NA,NA,NA,NA,NA
"1486","ABC1486","SC","SC1","0","HYD","3","39","0","10.28","1","2","1","4532.07","8427.9","221","7.5","1",NA,NA
"1487","ABC1487","PB","PB2","10","DEL","2","33","0","3.76","0","2","0","3036.05",NA,NA,NA,NA,NA,NA
"1488","ABC1488","PB","PB1","9","DEL","2","42","0","10.9","0","3","2","3081.4","5442.78","207","6.9","0","0",NA
"1489","ABC1489","PB","PB1","9","BNG","1","46","0","17.43","1","3","0","3416.21",NA,NA,NA,NA,NA,NA
"1490","ABC1490","SC","SC3","2","BNG","1","37","0","19.08","1","3","1","1769.43","7962.93","268","7.4","0",NA,NA
"1491","ABC1491","SC","SC3","2","HYD","3","39","0","14.09","0","3","1","3021.57","7272.33","233","6","0",NA,NA
"1492","ABC1492","SB","SB5","5","HYD","3","43","0","23","0","3","1","1954.14","6503.35","251","6.1","1",NA,NA
"1493","ABC1493","SB","SB5","5","CHE","4","41","0","14.03","0","2","0","5257.1",NA,NA,NA,NA,NA,NA
"1494","ABC1494","PB","PB1","9","KOL","5","35","0","15.19","0","3","0","2181.84",NA,NA,NA,NA,NA,NA
"1495","ABC1495","SC","SC3","2","DEL","2","40","1","8.81","0","2","0","3499.48",NA,NA,NA,NA,NA,NA
"1496","ABC1496","SB","SB2","4","DEL","2","36","1","0","0","3","1","2473.99","9774.77","269","6.6","0",NA,NA
"1497","ABC1497","SB","SB5","5","BNG","1","47","0","18.41","1","3","2","1500.85","2949.35","180","6.1","0","0",NA
"1498","ABC1498","SC","SC4","3","MUM","0","42","1","16.03","0","3","2","2496.44","3007.81","172","7.4","0","0",NA
"1499","ABC1499","PB","PB2","10","DEL","2","41","0","10.16","0","3","0","2974.33",NA,NA,NA,NA,NA,NA
"1500","ABC1500","SB","SB1","6","BNG","1","41","0","12.24","0","3","1","1944.08","9019.26","302","6.7","0",NA,NA
"1501","ABC1501","PB","PB1","9","DEL","2","51","1","17.34","1","3","0","2696.13",NA,NA,NA,NA,NA,NA
"1502","ABC1502","SC","SC4","3","KOL","5","45","1","10.69","0","3","1","2155.64","7874.17","212","7","0",NA,NA
"1503","ABC1503","SC","SC4","3","HYD","3","45","0","18.5","0","3","1","1713.88","6853.38","271","6.5","0",NA,NA
"1504","ABC1504","SB","SB1","6","CHE","4","35","0","11.9","1","3","1","2337.56","10226.08","252","8.9","0",NA,NA
"1505","ABC1505","SB","SB4","7","HYD","3","44","0","17.72","0","3","1","2046.38","7783.98","242","6.8","0",NA,NA
"1506","ABC1506","PB","PB1","9","MUM","0","45","1","9.55","1","3","2","2988.96","4741.33","188","6.3","0","0",NA
"1507","ABC1507","SC","SC3","2","DEL","2","41","0","13.43","1","3","1","1951.74","8023.2","328","7.5","0",NA,NA
"1508","ABC1508","SB","SB5","5","BNG","1","26","0","2.28","1","3","0","2009.57",NA,NA,NA,NA,NA,NA
"1509","ABC1509","PB","PB2","10","KOL","5","44","0","16.96","0","3","2","3522.09","4939.21","174","7.4","0","1","263"
"1510","ABC1510","PB","PB1","9","DEL","2","52","1","17.41","1","1","1","4121.17","7398.05","306","6.1","0",NA,NA
"1511","ABC1511","PB","PB2","10","HYD","3","34","0","8.37","1","3","1","2419.17","6864.13","250","7.2","0",NA,NA
"1512","ABC1512","PB","PB2","10","BNG","1","44","0","15.03","1","3","0","2915.34",NA,NA,NA,NA,NA,NA
"1513","ABC1513","SC","SC2","1","CHE","4","30","0","5.67","1","3","1","2036.24","7828.79","254","5.1","0",NA,NA
"1514","ABC1514","PB","PB1","9","DEL","2","36","1","5.42","1","2","0","2443.91",NA,NA,NA,NA,NA,NA
"1515","ABC1515","PB","PB1","9","MUM","0","38","0","12.7","0","3","2","2611.66","5099.24","177","6.6","0","0",NA
"1516","ABC1516","PB","PB2","10","MUM","0","40","0","15.68","0","3","2","3129.15","5057.93","151","7.3","0","0",NA
"1517","ABC1517","SC","SC3","2","BNG","1","41","1","8.65","0","3","0","1688.66",NA,NA,NA,NA,NA,NA
"1518","ABC1518","SB","SB2","4","CHE","4","36","0","7.14","1","3","1","1943.48","6809.56","194","6.6","0",NA,NA
"1519","ABC1519","PB","PB1","9","KOL","5","33","0","10.48","1","2","2","3670.93","4698.24","181","6.8","0","0",NA
"1520","ABC1520","PB","PB2","10","KOL","5","38","0","17.62","1","2","1","3454.75","9309.74","332","6.1","0",NA,NA
"1521","ABC1521","SB","SB5","5","HYD","3","40","0","12.52","0","2","2","4016.97","3039.81","168","8.8","0","0",NA
"1522","ABC1522","PB","PB1","9","CHE","4","43","0","24.7","0","3","1","2894.86","6946.95","273","5.3","0",NA,NA
"1523","ABC1523","SB","SB2","4","KOL","5","36","0","13.13","0","1","2","6012.73","2999.5","133","5.7","0","0",NA
"1524","ABC1524","SB","SB5","5","HYD","3","38","0","7.52","1","2","1","3380.57","7778.03","326","6.1","0",NA,NA
"1525","ABC1525","SB","SB5","5","BNG","1","40","0","12.29","0","3","1","1632.41","6026.16","260","8.3","0",NA,NA
"1526","ABC1526","SC","SC1","0","CHE","4","34","0","8.18","0","3","1","1961.08","9477.14","283","8.8","0",NA,NA
"1527","ABC1527","SB","SB4","7","KOL","5","45","1","13.63","1","3","1","1946","7569.63","316","7.8","0",NA,NA
"1528","ABC1528","PB","PB2","10","DEL","2","38","0","11.53","1","3","0","2557.6",NA,NA,NA,NA,NA,NA
"1529","ABC1529","PB","PB1","9","MUM","0","45","0","19.36","0","2","0","4485.1",NA,NA,NA,NA,NA,NA
"1530","ABC1530","SB","SB4","7","KOL","5","32","0","11.55","0","2","2","4425.59","2037.72","169","6.9","1","0",NA
"1531","ABC1531","SB","SB1","6","MUM","0","41","0","18.33","0","3","1","2215.02","7958.23","290","8","0",NA,NA
"1532","ABC1532","SB","SB1","6","BNG","1","39","1","7.58","0","3","1","2110.74","5916.49","263","6.9","0",NA,NA
"1533","ABC1533","SB","SB2","4","DEL","2","37","0","8.1","1","2","1","4414.64","7800.26","317","6.3","0",NA,NA
"1534","ABC1534","SB","SB5","5","BNG","1","31","1","5.18","1","2","1","3703.61","6441.15","246","7.1","0",NA,NA
"1535","ABC1535","SB","SB4","7","BNG","1","40","1","6.88","0","3","1","2042.93","6680.58","309","5.7","0",NA,NA
"1536","ABC1536","PB","PB1","9","DEL","2","40","0","13.88","1","3","0","3304.52",NA,NA,NA,NA,NA,NA
"1537","ABC1537","PB","PB1","9","KOL","5","36","0","8.36","0","3","2","3111.04","5112.61","201","6.3","1","0",NA
"1538","ABC1538","PB","PB2","10","HYD","3","43","0","15.71","1","2","2","4271.73","5676.82","156","7.7","0","0",NA
"1539","ABC1539","SC","SC2","1","HYD","3","29","1","0","1","3","1","1877.55","8475.96","306","8.1","0",NA,NA
"1540","ABC1540","PB","PB2","10","MUM","0","43","0","16.38","1","3","1","3443.52","7099.21","283","5","0",NA,NA
"1541","ABC1541","SB","SB5","5","KOL","5","41","0","14.03","1","2","2","4112.11","3008.66","184","7.3","0","0",NA
"1542","ABC1542","PB","PB1","9","KOL","5","38","0","15.23","0","3","0","2939.33",NA,NA,NA,NA,NA,NA
"1543","ABC1543","PB","PB1","9","DEL","2","38","1","9.89","1","3","0","2941.5",NA,NA,NA,NA,NA,NA
"1544","ABC1544","PB","PB1","9","CHE","4","47","0","16.19","1","3","0","3092.66",NA,NA,NA,NA,NA,NA
"1545","ABC1545","SB","SB1","6","MUM","0","52","0","24.13","0","3","2","1801.61","2459.56","161","7.7","0","0",NA
"1546","ABC1546","SC","SC2","1","MUM","0","36","0","12.88","0","3","2","1532.84","2984.69","194","7.1","0","0",NA
"1547","ABC1547","SB","SB5","5","HYD","3","47","0","17.35","1","3","1","1507.01","9096.55","298","8.1","0",NA,NA
"1548","ABC1548","SC","SC4","3","CHE","4","42","0","16.18","0","3","0","2432.57",NA,NA,NA,NA,NA,NA
"1549","ABC1549","PB","PB2","10","HYD","3","30","0","7","0","3","2","3038.52","4948.35","164","6.9","1","0",NA
"1550","ABC1550","PB","PB2","10","CHE","4","36","0","11.3","0","3","0","3392.71",NA,NA,NA,NA,NA,NA
"1551","ABC1551","SC","SC3","2","BNG","1","37","1","7.44","1","2","0","3213.92",NA,NA,NA,NA,NA,NA
"1552","ABC1552","SB","SB3","8","HYD","3","33","1","9","0","2","0","2582.95",NA,NA,NA,NA,NA,NA
"1553","ABC1553","SC","SC1","0","MUM","0","34","0","13.67","1","2","2","3246.5","2713.59","191","6.7","0","0",NA
"1554","ABC1554","SB","SB5","5","CHE","4","40","0","13.72","0","3","1","1989.12","7167.04","254","8","0",NA,NA
"1555","ABC1555","SB","SB1","6","CHE","4","45","0","15.76","1","2","2","4044.17","2641.79","197","6.3","0","1","349"
"1556","ABC1556","PB","PB1","9","DEL","2","37","0","9.07","0","3","2","2625.68","4469.2","205","7.1","0","0",NA
"1557","ABC1557","SC","SC3","2","BNG","1","43","1","10.7","1","2","1","4562.63","7038.22","319","5.9","0",NA,NA
"1558","ABC1558","SB","SB4","7","KOL","5","40","1","9","0","3","2","1805.94","3256.39","217","8","0","0",NA
"1559","ABC1559","SC","SC1","0","MUM","0","45","0","20.86","0","3","0","2137.24",NA,NA,NA,NA,NA,NA
"1560","ABC1560","SC","SC2","1","KOL","5","36","0","13.76","1","3","2","2426.42","3044.9","217","6.4","0","0",NA
"1561","ABC1561","PB","PB2","10","BNG","1","45","0","14.47","0","3","0","2548.36",NA,NA,NA,NA,NA,NA
"1562","ABC1562","SB","SB5","5","CHE","4","28","1","1.62","0","2","1","4386.43","7658.97","272","5.7","0",NA,NA
"1563","ABC1563","SC","SC3","2","CHE","4","40","1","11.72","0","3","0","2440.53",NA,NA,NA,NA,NA,NA
"1564","ABC1564","SB","SB1","6","CHE","4","46","0","23.65","0","3","0","2119.85",NA,NA,NA,NA,NA,NA
"1565","ABC1565","PB","PB2","10","BNG","1","41","0","14.05","0","3","2","2925.12","5356.55","199","7","1","0",NA
"1566","ABC1566","SB","SB4","7","KOL","5","42","0","16.41","1","2","2","3252.61","3678.57","155","7.3","1","0",NA
"1567","ABC1567","SC","SC3","2","BNG","1","45","0","12.9","0","3","2","1952.14","2402.86","172","6.3","0","0",NA
"1568","ABC1568","SB","SB3","8","CHE","4","32","0","5.1","0","3","0","2126.71",NA,NA,NA,NA,NA,NA
"1569","ABC1569","SC","SC2","1","MUM","0","47","0","22.59","0","2","2","4730.83","2826.98","216","6.8","1","0",NA
"1570","ABC1570","PB","PB1","9","HYD","3","48","1","13.38","1","3","0","2666.17",NA,NA,NA,NA,NA,NA
"1571","ABC1571","PB","PB1","9","CHE","4","46","0","24.16","0","3","2","2810.45","5585.71","179","6.8","0","0",NA
"1572","ABC1572","PB","PB1","9","CHE","4","41","1","10.29","1","2","1","2994.48","8988.31","368","5.3","0",NA,NA
"1573","ABC1573","PB","PB2","10","BNG","1","44","1","16.33","1","2","1","3458.2","7272.12","208","5.1","0",NA,NA
"1574","ABC1574","SB","SB5","5","CHE","4","39","0","11.52","0","2","2","3319.23","3106.06","172","7.4","0","0",NA
"1575","ABC1575","SB","SB2","4","KOL","5","40","0","11.79","0","3","1","1949.14","8188.19","227","7.3","0",NA,NA
"1576","ABC1576","SC","SC4","3","MUM","0","33","0","9.26","1","3","1","1794.56","6369.88","339","6","0",NA,NA
"1577","ABC1577","PB","PB1","9","KOL","5","38","0","10.82","1","3","0","2968.92",NA,NA,NA,NA,NA,NA
"1578","ABC1578","PB","PB2","10","BNG","1","39","0","9.92","0","3","0","2417.85",NA,NA,NA,NA,NA,NA
"1579","ABC1579","SB","SB1","6","DEL","2","35","1","6.16","1","3","2","1803.86","2925.48","183","7.6","1","0",NA
"1580","ABC1580","SB","SB1","6","BNG","1","38","1","6.36","1","3","1","2362.3","9472.47","297","7.9","1",NA,NA
"1581","ABC1581","SC","SC4","3","BNG","1","33","0","10.12","0","1","1","5388.57","8653.59","257","8","0",NA,NA
"1582","ABC1582","SC","SC4","3","DEL","2","38","0","11.99","0","2","1","4372.33","8056","268","8.4","0",NA,NA
"1583","ABC1583","SB","SB3","8","DEL","2","35","0","7.33","1","2","1","3889.85","9088.75","254","8.8","0",NA,NA
"1584","ABC1584","SC","SC4","3","BNG","1","35","1","10.19","0","3","1","1293.45","7932.74","211","5.3","0",NA,NA
"1585","ABC1585","SB","SB2","4","MUM","0","36","0","13.05","0","3","1","2561.66","8029.5","315","8.1","0",NA,NA
"1586","ABC1586","SC","SC3","2","BNG","1","39","0","11.49","1","3","2","1862.09","2533.35","216","5.2","1","0",NA
"1587","ABC1587","SC","SC2","1","HYD","3","38","0","11.68","1","1","1","2788.74","9261.03","291","7.1","0",NA,NA
"1588","ABC1588","PB","PB2","10","KOL","5","46","0","20.56","0","2","2","4160.81","4652.1","163","5.5","0","1","268"
"1589","ABC1589","PB","PB2","10","HYD","3","40","0","14.86","0","2","0","4587.5",NA,NA,NA,NA,NA,NA
"1590","ABC1590","SC","SC2","1","DEL","2","37","0","11.88","0","3","2","1950.06","2073.88","216","7.2","0","0",NA
"1591","ABC1591","SC","SC2","1","HYD","3","46","1","15.31","1","3","1","1510.9","7871.04","325","6.4","0",NA,NA
"1592","ABC1592","SC","SC1","0","DEL","2","38","0","14.06","1","3","1","2041.96","7531.28","337","8.8","0",NA,NA
"1593","ABC1593","PB","PB1","9","KOL","5","38","0","12.47","0","3","2","2761.47","4570.15","185","7.3","0","0",NA
"1594","ABC1594","SB","SB5","5","CHE","4","34","0","10.34","1","3","2","1840.27","2483.85","167","6.9","0","0",NA
"1595","ABC1595","SB","SB5","5","CHE","4","31","0","6.29","0","2","2","4748.17","3179.45","158","7.1","0","0",NA
"1596","ABC1596","PB","PB1","9","CHE","4","35","1","3.82","1","2","1","4866.68","9328.54","340","6.7","0",NA,NA
"1597","ABC1597","SB","SB1","6","CHE","4","36","0","17.73","0","3","0","1998.6",NA,NA,NA,NA,NA,NA
"1598","ABC1598","PB","PB1","9","HYD","3","38","0","16.48","0","0","0",NA,NA,NA,NA,NA,NA,NA
"1599","ABC1599","SB","SB5","5","MUM","0","42","0","13.43","1","1","2","5428.79","2846.39","184","7.9","0","0",NA
"1600","ABC1600","PB","PB1","9","CHE","4","45","1","17.31","0","3","1","2948.62","8612.89","289","4.9","0",NA,NA
"1601","ABC1601","SC","SC4","3","KOL","5","46","0","23.24","0","3","1","1911.62","8851.32","279","6.4","0",NA,NA
"1602","ABC1602","SB","SB4","7","CHE","4","45","0","23.05","0","3","0","1884.65",NA,NA,NA,NA,NA,NA
"1603","ABC1603","SB","SB3","8","KOL","5","35","1","9.38","1","2","1","4145.21","9234.44","364","8.9","0",NA,NA
"1604","ABC1604","SC","SC1","0","KOL","5","35","0","13","1","3","2","1236.96","3144.26","203","5.6","0","1","378"
"1605","ABC1605","SC","SC3","2","MUM","0","44","1","13.16","0","1","2","4669.5","3872.61","205","6.9","0","0",NA
"1606","ABC1606","SB","SB5","5","CHE","4","45","0","11.27","0","2","1","3691.75","7737.1","298","6.1","0",NA,NA
"1607","ABC1607","PB","PB1","9","BNG","1","38","0","13.08","1","2","2","3240.27","4530.73","170","6.4","0","0",NA
"1608","ABC1608","PB","PB1","9","MUM","0","37","1","9","0","2","1","3476.6","5772.54","261","7.7","0",NA,NA
"1609","ABC1609","SB","SB5","5","MUM","0","49","0","20.19","0","3","0","1536.1",NA,NA,NA,NA,NA,NA
"1610","ABC1610","PB","PB1","9","MUM","0","37","1","7.63","1","3","1","2871.87","9368.74","222","8.5","1",NA,NA
"1611","ABC1611","SB","SB1","6","CHE","4","37","0","8.34","1","3","2","1966.44","2963.24","182","7.3","0","0",NA
"1612","ABC1612","SC","SC4","3","KOL","5","44","1","11.02","0","3","0","1625.48",NA,NA,NA,NA,NA,NA
"1613","ABC1613","SB","SB4","7","DEL","2","29","1","1.26","0","3","1","2527.14","8076.86","215","7.1","0",NA,NA
